"model_key","model_class","model_class_label","training_regime","training_regime_label","learning_rate","window_id","window_row","window_col","n_pixels","generated_mean","generated_variance","generated_expected_variance","generated_expected_variance_ci95_low","generated_expected_variance_ci95_high","generated_log10_variance_ratio","reference_mean","reference_variance","reference_expected_variance","reference_expected_variance_ci95_low","reference_expected_variance_ci95_high","reference_log10_variance_ratio","evaldf_path","generated_growth_pct","reference_growth_pct"
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,50,6,12,1799,551.064064689397,273142.578438641,961413.172606748,701948.305098795,1316785.41246949,-0.546520663442162,697.966707392815,606519.087996735,1521073.15705145,1107201.68880575,2089649.58461906,-0.399305628977548,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,51,6,13,2220,593.85131378895,915227.092576025,1111616.02603193,810835.355090692,1523971.7676011,-0.0844259316850554,826.698205302608,3231376.39946596,2112803.12238609,1534586.32726044,2908886.22859913,0.184528518743143,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,52,6,14,2343,605.599751386422,414447.200324911,1154705.56759246,842053.807259015,1583443.88011167,-0.44500204960309,614.676786264456,1032449.41655927,1188541.08163993,866562.281267088,1630153.92347827,-0.0611454144209842,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,53,6,15,2667,611.918880290503,459397.816682377,1178210.61575173,859079.989742305,1615891.73493203,-0.409034004586693,625.389577303888,895042.157953957,1229083.3305036,895922.653737882,1686134.20703145,-0.137737836794611,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,54,6,16,2060,582.125600255531,523523.696504298,1069402.54101732,780243.841515024,1465723.57753404,-0.310204867557403,681.054275436625,803461.307266405,1450339.02710266,1056046.44676685,1991847.32828467,-0.256504566496438,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,55,7,5,256,850.540442410597,294693.492897856,2232698.45541236,1621077.37172473,3075079.86956666,-0.879459525596333,832.259801957495,1396697.43707579,2140483.72060941,1554557.5948064,2947250.44186252,-0.185409592946458,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,56,7,6,1440,980.457253125114,1503865.01865613,2942207.47494075,2132327.61703694,4059687.99373631,-0.291464437167767,1298.05081345611,6011821.84378054,5072770.40408238,3663197.92461287,7024736.33751409,0.0737608956917206,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,57,7,7,1468,920.5067484359,1602647.23994666,2603026.42546467,1888040.11653974,3588772.56489945,-0.210640637068879,1181.37426202109,6830594.79169797,4225111.45029169,3054772.02534888,5843829.46395065,0.208620353355097,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,58,7,8,1181,851.559031759623,1397445.51624034,2237892.07517599,1624823.27957938,3082280.39509133,-0.204504253797482,1050.11801577532,7428508.19374722,3361570.14880052,2434108.21426945,4642420.4967807,0.34435942824005,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,59,7,9,1236,736.521415431981,1572885.28488621,1688420.47444908,1228166.6018701,2321153.90061745,-0.0307835605252068,1201.43129069522,7251579.66513516,4365478.04666436,3155575.10387965,6039279.03743383,0.220400813890621,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,60,7,10,1155,807.362545836852,1209261.52713674,2017927.90179259,1466121.54755091,2777418.43685143,-0.222385409404467,1109.84690137856,4906835.70819768,3742671.2992855,2708137.83234758,5172406.03014391,0.11761983027071,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,61,7,11,1226,625.650742970116,1036759.51334292,1230079.93611557,896644.305971999,1687510.46446878,-0.0742553056049836,655.994553274368,1453492.31057747,1348535.49462251,982392.460978863,1851142.03588733,0.0325503566144324,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,62,7,12,2081,625.15265392404,990524.078253887,1228179.57204714,895268.22972326,1684886.17278441,-0.0933968325188358,792.044902540006,2553495.8108499,1944269.31642137,1412952.67950271,2675378.46781116,0.118378727320311,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,63,7,13,2157,288.326057364882,208813.662582858,273393.931561792,201278.67319062,371347.051478362,-0.117029959492133,255.966596164736,439550.930781802,216981.561305101,159991.116490936,294272.575746833,0.30658637417387,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,64,7,14,2805,708.192824522265,927985.254433599,1564634.46911164,1138697.54606333,2149895.75624864,-0.226871818192112,724.231158505416,1545285.25060957,1634155.1981685,1188950.72005517,2246067.19745057,-0.0242846403733731,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv",2.31338111169673,3.06913108089765
