"learning_rate","target","scale","n","mae","mb","r2","slope","reference_mean","generated_mean","source","training_regime","family","model_key","model_class","model_class_label","training_regime_label"
1e-04,"BH","window_256",107,1.05773943439822,0.383546068846622,0.200340232276203,0.50623457005999,3.26596323964752,3.64950930849414,"/Volumes/HDD/Models/MSASampleModels/1_BH_UNETBaseline_MSASample/lr_0p0001_seed_2026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
2e-04,"BH","window_256",107,1.17679471724501,0.806424560947953,0.182797131323735,0.37283744714121,3.26596323964752,4.07238780059547,"/Volumes/HDD/Models/MSASampleModels/1_BH_UNETBaseline_MSASample/lr_0p0002_seed_3026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
5e-04,"BH","window_256",107,3.2032121709574,3.18722511340525,0.0756629999074596,0.232522808669394,3.26596323964752,6.45318835305276,"/Volumes/HDD/Models/MSASampleModels/1_BH_UNETBaseline_MSASample/lr_0p0005_seed_4026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
0.001,"BH","window_256",107,1.36788979534791,1.09675651955827,0.217402547615264,0.392355600208864,3.26596323964752,4.36271975920579,"/Volumes/HDD/Models/MSASampleModels/1_BH_UNETBaseline_MSASample/lr_0p001_seed_5026/generator_epoch_1000.pth","MSASample","1","unet_conus_model","1","U-Net baseline","CONUS Model"
1e-04,"BF","pixel_new_developed",150166,0.117203174712609,0.00495185392907243,0.238741089989644,0.375254659555639,0.146456193989421,0.151408047918493,"/Volumes/HDD/Models/LALegacyModels/2A_BF_cGANRandomVecFixed/lr_0p0001_seed_2026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
2e-04,"BF","pixel_new_developed",150166,0.115063544234292,0.00396239874731949,0.248072382144501,0.382229622952845,0.146456193989421,0.15041859273674,"/Volumes/HDD/Models/LALegacyModels/2A_BF_cGANRandomVecFixed/lr_0p0002_seed_3026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
5e-04,"BF","pixel_new_developed",150166,0.115371725585903,0.0104426607856004,0.255832323136749,0.415574749477861,0.146456193989421,0.156898854775021,"/Volumes/HDD/Models/LALegacyModels/2A_BF_cGANRandomVecFixed/lr_0p0005_seed_4026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
0.001,"BF","pixel_new_developed",150166,0.110181771629739,0.00555381582350532,0.291518350772657,0.432580218290974,0.146456193989421,0.152010009812926,"/Volumes/HDD/Models/LALegacyModels/2A_BF_cGANRandomVecFixed/lr_0p001_seed_5026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
1e-04,"BH","pixel_new_developed",150166,2.2680414932749,-0.227174534745385,0.181041190708108,0.220419445015318,3.255019946495,3.02784541174961,"/Volumes/HDD/Models/LALegacyModels/2A_BH_cGANRandomVecFixed/lr_0p0001_seed_2026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
2e-04,"BH","pixel_new_developed",150166,2.26141822890732,-0.142091256258255,0.183386043356745,0.227753179069577,3.255019946495,3.11292869023674,"/Volumes/HDD/Models/LALegacyModels/2A_BH_cGANRandomVecFixed/lr_0p0002_seed_3026/generator_epoch_1000.pth","LALegacy","2A","single_latent_los_angeles_model","2A","single-latent cGAN","Los Angeles Model"
