filename,reference_built_pixels,reference_built_pixels_with_valid_hisdac,valid_hisdac_coverage
MSA_14260_X26624_Y28416.tif,27676,26177,0.9458375487787253
MSA_14260_X26752_Y28544.tif,12846,11173,0.86976490736416
MSA_14740_X13824_Y10112.tif,9302,9064,0.9744141044936573
MSA_14740_X13824_Y9856.tif,9297,8577,0.9225556631171346
MSA_14740_X13952_Y10112.tif,19002,17830,0.9383222818650668
MSA_14740_X13952_Y9600.tif,16633,15149,0.9107797751457946
MSA_14740_X14080_Y10112.tif,20754,19725,0.9504191962995086
MSA_14740_X14080_Y10240.tif,18837,18771,0.9964962573658226
MSA_14740_X14080_Y10368.tif,11608,11553,0.9952618883528601
MSA_14740_X14080_Y9344.tif,9076,8513,0.9379682679594535
MSA_14860_X142080_Y34560.tif,9277,9126,0.9837231863749056
MSA_14860_X142080_Y34816.tif,22856,22666,0.9916870843542177
MSA_14860_X142080_Y36224.tif,27807,27684,0.9955766533606646
MSA_14860_X142208_Y35968.tif,25711,25535,0.9931546808758897
MSA_14860_X142208_Y36096.tif,35637,35479,0.995566405701939
MSA_14860_X142208_Y36224.tif,32619,32381,0.9927036389834146
MSA_14860_X142336_Y34944.tif,16291,15871,0.9742188938677797
MSA_14860_X142336_Y35456.tif,11098,10986,0.9899080915480267
MSA_14860_X142336_Y35584.tif,12017,11924,0.9922609636348506
MSA_14860_X142336_Y35840.tif,22017,21902,0.9947767634100922
MSA_14860_X142464_Y34688.tif,10167,9776,0.9615422445165732
MSA_14860_X142592_Y35456.tif,11199,11106,0.991695687114921
MSA_14860_X142592_Y35840.tif,30830,30696,0.9956535841712617
MSA_14860_X142720_Y34816.tif,9868,9405,0.9530806647750304
MSA_14860_X142720_Y34944.tif,10619,10279,0.9679819192014314
MSA_14860_X142848_Y34816.tif,9434,9211,0.9763620945516218
MSA_14860_X142848_Y35456.tif,25350,25262,0.9965285996055226
MSA_14860_X142976_Y35072.tif,21513,21467,0.9978617580067866
MSA_14860_X142976_Y35456.tif,40112,39855,0.9935929397686478
MSA_14860_X143104_Y35072.tif,20916,20620,0.9858481545228533
MSA_15180_X74368_Y98560.tif,6187,5835,0.9431065136576693
MSA_15180_X74368_Y98816.tif,9724,9430,0.969765528589058
MSA_15180_X74496_Y98688.tif,15059,14601,0.9695862939106182
MSA_15180_X74624_Y98688.tif,25376,24781,0.9765526481715007
MSA_15180_X74624_Y98816.tif,13911,13350,0.9596722018546474
MSA_15180_X74752_Y98816.tif,18293,17428,0.9527141529546821
MSA_15180_X74752_Y98944.tif,7526,6797,0.9031357959075206
MSA_15180_X74880_Y98816.tif,15875,14885,0.9376377952755905
MSA_15180_X75008_Y98816.tif,7964,7440,0.934203917629332
MSA_15180_X75264_Y99200.tif,6103,5796,0.9496968703916107
MSA_15180_X75264_Y99584.tif,24746,24702,0.9982219348581589
MSA_15180_X75392_Y99072.tif,7336,7019,0.9567884405670665
MSA_15180_X75392_Y99456.tif,16564,16198,0.9779038879497706
MSA_15180_X75392_Y99584.tif,32001,31715,0.9910627792881472
MSA_15180_X75392_Y99712.tif,31756,31454,0.9904899861443507
MSA_15180_X75520_Y99712.tif,25866,25348,0.9799737106626459
MSA_15260_X125952_Y76544.tif,7809,6960,0.8912792931233192
MSA_15260_X126080_Y76672.tif,18095,14789,0.8172975960210003
MSA_15260_X126336_Y76800.tif,4287,3857,0.8996967576393748
MSA_15260_X126464_Y76672.tif,4956,4836,0.9757869249394673
MSA_15500_X129152_Y57600.tif,6109,5789,0.94761826812899
MSA_15500_X129280_Y57856.tif,25325,24556,0.969634748272458
MSA_15500_X129280_Y57984.tif,11761,11075,0.9416716265623671
MSA_15500_X129536_Y58112.tif,7271,6863,0.9438866730848576
MSA_15500_X129664_Y57856.tif,13756,13180,0.9581273626054085
MSA_15500_X129792_Y57856.tif,10815,9767,0.9030975496994914
MSA_15940_X120448_Y41216.tif,8841,8193,0.9267051238547676
MSA_15940_X120576_Y41216.tif,15242,14800,0.9710011809473822
MSA_15940_X120576_Y41344.tif,22883,22387,0.978324520386313
MSA_15940_X120832_Y41088.tif,26662,25418,0.9533418348210937
MSA_15940_X120832_Y41600.tif,10424,9399,0.9016692248656946
MSA_15940_X120960_Y40832.tif,15959,15428,0.9667272385487813
MSA_15940_X120960_Y41472.tif,25085,23554,0.938967510464421
MSA_15940_X121088_Y40704.tif,8838,8188,0.9264539488572076
MSA_15940_X121088_Y41600.tif,8750,8290,0.9474285714285714
MSA_15940_X121728_Y41600.tif,6239,5584,0.8950152267991666
MSA_15940_X121984_Y42112.tif,5099,4798,0.9409688174151795
MSA_15980_X126848_Y93440.tif,8343,220,0.026369411482680093
MSA_15980_X126976_Y93440.tif,14403,518,0.03596472957022843
MSA_15980_X126976_Y93696.tif,23808,4549,0.19107022849462366
MSA_15980_X127104_Y93312.tif,11339,856,0.07549166593174002
MSA_15980_X127104_Y93568.tif,30647,10444,0.34078376350050577
MSA_15980_X127104_Y93952.tif,32463,12456,0.3836983642916551
MSA_15980_X127168_Y93760.tif,45012,16284,0.3617701946147694
MSA_15980_X127168_Y93824.tif,45321,17111,0.3775512455594537
MSA_15980_X127232_Y93568.tif,32552,13727,0.42169451953797
MSA_15980_X127360_Y93440.tif,21842,7696,0.3523486860177639
MSA_15980_X127360_Y94080.tif,23701,11346,0.4787139783131513
MSA_15980_X127488_Y93312.tif,13088,4179,0.31930012224938875
MSA_15980_X127488_Y93696.tif,24877,9498,0.38179844836596055
MSA_15980_X127488_Y93952.tif,30594,10796,0.35287964960449764
MSA_15980_X127616_Y93312.tif,10064,2719,0.270170906200318
MSA_15980_X127616_Y93440.tif,15894,6886,0.4332452497797911
MSA_15980_X127616_Y94080.tif,20494,6241,0.3045281545818288
MSA_15980_X127744_Y93568.tif,10276,3484,0.3390424289606851
MSA_15980_X127744_Y94080.tif,17458,6680,0.38263260396379883
MSA_15980_X127872_Y93184.tif,6880,3700,0.5377906976744186
MSA_15980_X127872_Y94080.tif,5997,2718,0.4532266133066533
MSA_15980_X127872_Y94464.tif,18468,4258,0.2305609703270522
MSA_15980_X128000_Y93184.tif,4831,1788,0.3701097081349617
MSA_15980_X128000_Y93568.tif,22279,7467,0.3351586695991741
MSA_15980_X128000_Y94336.tif,6220,1148,0.18456591639871384
MSA_15980_X128000_Y94464.tif,7306,2103,0.2878456063509444
MSA_15980_X128128_Y93440.tif,11971,1280,0.10692506891654832
MSA_15980_X128128_Y93568.tif,22142,4030,0.1820070454340168
MSA_15980_X128128_Y93696.tif,20020,3993,0.19945054945054946
MSA_15980_X128256_Y93824.tif,7650,3014,0.39398692810457514
MSA_16220_X52224_Y35456.tif,7973,7749,0.9719051799824407
MSA_16220_X52352_Y35200.tif,7325,6648,0.9075767918088737
MSA_16220_X52480_Y35200.tif,8131,7699,0.9468700036895831
MSA_16220_X52736_Y35328.tif,6503,6188,0.9515608180839612
MSA_16540_X131584_Y42752.tif,5640,4332,0.7680851063829788
MSA_16540_X131712_Y43136.tif,5651,4277,0.7568571934170943
MSA_16540_X131712_Y43392.tif,9211,8012,0.8698295516230594
MSA_16540_X131840_Y42368.tif,3727,1824,0.48940166353635634
MSA_16540_X131840_Y43264.tif,8616,6673,0.7744893221912721
MSA_16540_X131968_Y42752.tif,16355,13320,0.8144298379700398
MSA_16540_X131968_Y42880.tif,9323,6747,0.7236940898852301
MSA_16540_X131968_Y43264.tif,5051,3487,0.6903583448822015
MSA_16540_X131968_Y43392.tif,5049,3544,0.7019211725094078
MSA_16540_X132096_Y42624.tif,8702,7508,0.862790163180878
MSA_16540_X132096_Y43264.tif,8994,7339,0.8159884367356015
MSA_16580_X101248_Y46592.tif,4509,193,0.04280328232424041
MSA_16580_X101376_Y46592.tif,3900,193,0.04948717948717949
MSA_16580_X101632_Y45952.tif,4736,3846,0.8120777027027027
MSA_16580_X101760_Y44928.tif,3740,0,0.0
MSA_16580_X101760_Y45952.tif,7063,5846,0.8276936146113549
MSA_16580_X102016_Y46208.tif,17984,11067,0.6153803380782918
MSA_16580_X102272_Y46080.tif,25417,18365,0.7225479010111343
MSA_16580_X102272_Y46208.tif,29631,23915,0.8070939219061118
MSA_16580_X102272_Y46336.tif,11925,7372,0.6181970649895179
MSA_16580_X102400_Y45440.tif,7389,2695,0.3647313574231966
MSA_16580_X102400_Y46080.tif,13982,11075,0.7920898297811472
MSA_16580_X102400_Y46208.tif,15078,13077,0.8672900915240748
MSA_16580_X102400_Y46336.tif,4692,3547,0.7559676044330775
MSA_16580_X102528_Y44800.tif,4296,0,0.0
MSA_16580_X102528_Y44928.tif,4181,0,0.0
MSA_16620_X121088_Y50560.tif,12519,12031,0.961019250738877
MSA_16620_X121216_Y50560.tif,11245,10214,0.9083148065807025
MSA_16620_X121344_Y50688.tif,5563,4908,0.88225777458206
MSA_16620_X121472_Y50432.tif,16500,15208,0.9216969696969697
MSA_16620_X121472_Y50688.tif,7189,6350,0.8832939212686048
MSA_16620_X121600_Y50304.tif,7013,6507,0.9278482817624412
MSA_16620_X121600_Y50560.tif,21836,19950,0.9136288697563656
MSA_16620_X121728_Y50304.tif,7120,6414,0.9008426966292135
MSA_16620_X121728_Y50688.tif,6978,6755,0.968042419031241
MSA_16620_X121856_Y50432.tif,8430,7376,0.8749703440094899
MSA_16620_X121856_Y50688.tif,7686,7138,0.9287015352589123
MSA_16620_X121984_Y50560.tif,5461,4912,0.8994689617286211
MSA_16620_X122112_Y50176.tif,6519,6076,0.9320447921460346
MSA_16860_X111488_Y64128.tif,3639,3440,0.9453146468810113
MSA_16860_X111488_Y64256.tif,3674,3339,0.9088187261839956
MSA_16860_X112128_Y62976.tif,5508,5205,0.9449891067538126
MSA_16860_X112256_Y62976.tif,5209,4813,0.9239777308504511
MSA_16860_X112256_Y64384.tif,3522,3154,0.8955139125496877
MSA_16860_X112384_Y64000.tif,6539,6042,0.9239944945710353
MSA_16860_X112512_Y64000.tif,19286,18660,0.9675412216115317
MSA_16860_X112512_Y64128.tif,17726,16459,0.9285230734514273
MSA_16860_X112512_Y64256.tif,18426,17089,0.9274394876804516
MSA_16860_X112640_Y64128.tif,29475,28192,0.9564715860899067
MSA_16860_X112640_Y64256.tif,33828,32621,0.9643194986401797
MSA_16860_X112640_Y64512.tif,16447,16294,0.9906973916215723
MSA_16860_X112640_Y64640.tif,12654,12456,0.984352773826458
MSA_16860_X112768_Y63872.tif,18772,17915,0.9543468996377583
MSA_16860_X112768_Y64384.tif,33051,32890,0.9951287404314544
MSA_16860_X112768_Y64512.tif,17386,17216,0.9902220177154032
MSA_16860_X112768_Y64768.tif,8415,8118,0.9647058823529412
MSA_16860_X112768_Y64896.tif,6771,6501,0.9601240584847143
MSA_16860_X112768_Y65280.tif,5290,4945,0.9347826086956522
MSA_16860_X112896_Y63232.tif,6765,6633,0.9804878048780488
