training_regime,training_regime_label,dataset_name,family,model_class,learning_rate,learning_rate_label,learning_rate_display,checkpoint,target,evaluation_mode,mask_type,hisdac_code,land_use_type,n_tiles,median_tile_bias_m,tile_bias_iqr_low_m,tile_bias_iqr_high_m,reference_mean_bh_m,generated_mean_bh_m,mean_bias_m,mae_m,n_pixels,n_reference_built_pixels
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,4,Recreational,1212,-0.5655710399150848,-4.257009267807007,1.692122220993042,10.057760704692662,8.307097891607613,-1.7506628098832673,5.781851937051792,367858,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,4,Recreational,1211,-0.9135570526123048,-4.102479457855225,1.3182607889175415,10.118356737357827,8.048392144032244,-2.0699646460793613,5.693259303882867,365655,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,4,Recreational,1212,-0.9421577751636505,-4.203653335571289,1.2764460742473602,10.044299361340409,7.922864485900144,-2.12143492570557,5.625888225561383,368351,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,1,Agriculture,1241,-2.2600696086883545,-5.856639385223389,0.4258431792259216,8.5194383868325,6.173845752862538,-2.3455925835416833,5.656080592047941,313709,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,1,Agriculture,1240,1.701171100139618,-1.9172358810901642,5.095065355300903,8.847699188803887,9.953883040755208,1.1061839284251167,6.446531247448597,302070,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,1,Agriculture,1269,11.62961769104004,7.396308898925781,14.69859504699707,3.2730729821182667,14.672379651027496,11.399306643126225,12.894698087648717,816549,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,1,Agriculture,1268,4.911102771759033,2.008998930454254,7.517485022544861,5.4161682824137145,10.27886609828605,4.862697850260285,7.9680904789094615,493453,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,1,Agriculture,1270,3.3609243631362915,0.6453970521688461,5.814059734344482,6.190743547767378,9.029371491090156,2.838627956382969,7.04359523917453,431713,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,1,Agriculture,1242,0.9794319868087769,-2.964551866054535,4.104633569717407,9.106107944559971,9.383684527345684,0.2775765460991696,6.127915717383917,293498,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,1,Agriculture,1240,0.5480553507804871,-2.974360942840576,3.4350110292434692,9.19976756380805,9.116575963122223,-0.08319162021524079,5.974552354433956,290510,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,1,Agriculture,1243,1.0386431217193604,-2.4624863862991333,3.7607433795928955,8.486273321059631,8.865095086529003,0.37882178466860106,5.961845834247799,314935,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,8,Vacant Land,1680,-1.7933365106582642,-5.505441308021545,0.7192157506942749,9.002929451987344,6.819615315305458,-2.1833141403297787,5.684413104790146,1580447,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,8,Vacant Land,1680,0.1882142648100853,-2.8133649230003357,2.4839845299720764,9.676893650021487,8.732905548549827,-0.9439880978445946,5.85796238599412,1470374,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,8,Vacant Land,1691,6.60585880279541,3.216973900794983,9.952250957489014,6.477214611457072,11.640494315147135,5.163279693740492,8.909629940573987,2196724,NA
